,Unnamed: 0,title,pubdate,Latitude,Longitude
0,0,Administration makes case for emergency Ebola funds #ebola http://t.co/O95M0zN3Xl or http://t.co/y4XQ8SnNrU,2014-09-28 18:44,-6.414994352,22.30381339
1,1,RT @UmaruFofana: #SierraLeone confirms 94 new #Ebola cases today with 53 in Freetown &amp; environs. It brings to 295 new cases in last 3 days.,2014-09-20 0:46,-6.99359363,23.97186062
2,2,Who will pay to stop Ebola?   http://t.co/hOeAMv3cZS  #americanpublic #ebola,2014-09-29 20:15,-3.885677237,18.64476017
3,3,Administration makes case for emergency Ebola funds #ebola http://t.co/ubM12j56KP,2014-09-01 11:55,-2.441768906,19.80620092
4,4,RT @UmaruFofana: #SierraLeone confirms 94 new #Ebola cases today with 53 in Freetown &amp; environs. It brings to 295 new cases in last 3 days.,2014-09-08 14:03,-4.954816724,22.36569317
5,5,NOW LISTEN TO .@PoliticalJones tkg #Ebola &amp; #PublicHealth w/ .@docgriggs: http://t.co/mWLo4Vg446  http://t.co/43p3fkgWNS,2014-08-02 15:48,-3.971935829,23.3745609
6,6,"#Ebola death toll passes 5,000-mark: WHO",2014-08-16 14:15,-3.987734463,22.61678136
7,7,African football latest victim of #Ebola after Morocco expelled from Cup of Nations tournament http://t.co/UahOe1lscZ http://t.co/IuHzjq6DFJ,2014-08-22 17:36,-3.511630809,21.10997751
8,8,Kim Kardashian Distracting us from what\'s really going on... #ebola,2014-08-18 10:18,-8.226761989,18.92797683
9,9,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,2014-08-13 11:54,-5.427534987,22.4565764
10,10,RT @LukeRussert: #USA media needs 2 b more concerned w 22 vets committing suicide a day &amp; vet unemployment rate than #Ebola or #MH370 http:…,2014-09-17 20:20,-3.103096988,20.92660126
11,11,"In Wake of #Ebola, Dentist Aims to Keep the Well... Well | #HIPAA #cloud http://t.co/BYHrFZNGNV",2014-09-12 8:06,-4.715734955,21.16019876
12,12,"Mali battles Ebola outbreak as African death toll passes 5,000 #mali #ebola. http://t.co/39ORXIj7KQ",2014-08-31 21:59,-2.900289668,24.84647974
13,13,RT @Crof: #Ebola in Liberia: New cases in Grand Bassa county http://t.co/v5eSoTxZ09,2014-09-20 11:56,-4.038541208,23.74065503
14,14,#Ebola outbreak deaths pass 5000 - BBC News http://t.co/u6KfswK3D7,2014-08-20 9:45,-3.980579186,21.95042095
15,15,RT @AsCorrespondent: UN\'s Ban Ki-moon calls on Asia to step up #Ebola fight  http://t.co/yH3UkYPXfX  #Asia http://t.co/uv1hXYFXtM,2014-08-19 0:32,-4.582690825,21.98355817
16,16,#CDC Covers Up #Ebola Information: http://t.co/LzBPwxSgUV via @YouTube,2014-09-14 21:06,-5.28810167,21.56038197
17,17,RT @FollowEbola: #Ebola crisis: Mali confirms second death. http://t.co/Z3nUvvefli,2014-09-04 4:03,-6.471535323,25.42672053
18,18,Who plays a vital role in the care of patients with #Ebola? #Nurses do. http://t.co/nPJQT5OlcD via @rwjf,2014-08-04 11:58,-7.961468355,21.78388594
19,19,RT @FollowEbola: Bats Link to #Ebola Finally Solved. http://t.co/NsVsBM0486,2014-08-26 9:33,-1.960529493,25.80103999
20,20,RT @makoto_au_japon: #WHO strives to enhance int\'l clinics readiness to prevent #Ebola spread - expert http://t.co/DlTVEBMTNj #GCC #Gulf,2014-09-03 3:14,-5.127005231,19.10963771
21,21,RT @makoto_au_japon: #MSF moves #Ebola preparedness training #online http://t.co/mLMy03Icyi #Africa,2014-08-05 5:17,-2.599751185,20.66807814
22,22,RT @makoto_au_japon: The Fight Against #Ebola Could Lead to Surge in #Measles and #Malaria http://t.co/iYXhw6qyP7 #Africa via @vivwalt,2014-09-06 12:30,-1.974319937,23.14164747
23,23,RT @CHRISTMAS_EVIL: #CometLandingPeople on the moon = hoax.Washing machine on comet = same gag. Spend the money looking for #MH370 an…,2014-08-21 16:57,-1.902432121,20.89260616
24,24,RT @dulaney_l: Did the U.S. Just Secretly Fly in an #African #Ebola Patient? http://t.co/P3ZdDbp8xp via @po_st  #obama #georgia,2014-09-05 11:35,-1.720285455,20.92219265
25,25,RT @makoto_au_japon: #Rwanda:Bayingana blasts teams for snubbing #Tour du Rwanda over #Ebola fears http://t.co/ywLflGJtSG #Africa #Cycling …,2014-08-03 2:31,-1.801580785,23.4011629
26,26,RT @drmannyonFOX: I\'ll be on #TheKellyFile tonight at 9PM ET talking about why I think @DrFriedenCDC should step down. #EBOLA,2014-08-20 18:03,-6.551217298,21.18374626
27,27,RT @makoto_au_japon: #Japan Donates #Ebola Preventive Kit To #Ghana http://t.co/deHXMFwGLB #Africa #donation http://t.co/tJHDuMOdS2,2014-09-18 17:31,-3.68493576,20.15764932
28,28,RT @makoto_au_japon: #Japan: #Tokyo Govt Conducts #Ebola Response #Drill http://t.co/5tc8kINGKl #hospital,2014-09-03 12:50,-0.770539724,22.10123692
29,29,RT @makoto_au_japon: #Japan: #Tokyo conducts #Ebola #drill http://t.co/265CMMfF1r #hospital,2014-09-14 13:59,-2.597890994,21.14362806
30,30,RT @Liberationtech: Deploying Technology in the Fight Against #Ebola http://t.co/DYuOrgI7hk by @drjohnbates,2014-08-25 3:58,-3.348986769,22.43253765
31,31,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,2014-08-15 10:49,-5.189772815,16.67715597
32,32,RT @makoto_au_japon: #Samoa to stop incoming flights to prevent #Ebola http://t.co/yeD234Of65 #Africa #travel #guideline,2014-09-03 21:33,-5.183040471,23.48596781
33,33,RT @makoto_au_japon: #US: #Georgia health officials refuse to name #Ebola hospitals http://t.co/tRZhgBc7RR #hospital,2014-09-16 8:31,-2.887580225,19.67668608
34,34,#Ebola Lawmakers question Obama&amp;#039;s $6-billion request for Ebola funding   http://t.co/yxN1WGkCYn http://t.co/yg2fQkuHg6,2014-08-01 0:09,-0.598770473,22.48951999
35,35,RT @makoto_au_japon: #Trinidad &amp; #Tobago: #Ebola treatment centre ready http://t.co/aVZtt79dsY #TT #Caribbean,2014-09-25 10:45,-3.015824776,24.35146643
36,36,@UNDP providing important fail safe in fight against #Ebola. http://t.co/a0D7Q7QZ8x @UNMEER @DougUNDP @HelenClarkUNDP,2014-09-20 0:59,-2.104134452,21.73666589
37,37,RT @makoto_au_japon: #Israel: Watch: Israel sending #Ebola field hospital and staff to #Africa (Video) http://t.co/UqNdcDO8x1,2014-08-17 0:42,-6.502487606,22.43904226
38,38,RT @InfoEbola: “Your Blood Tested Positive for #Ebola. I Am Sorry.”Read Dr. Ada Ignohoh\'s story. Posted online by Bill Gates... http://t.…,2014-08-08 14:46,-6.816257991,21.75342812
39,39,A Poem: On the Arrival of Ebola in New York   http://t.co/lg5zqqrEtd  #ebola #funny #humor via @humortimes,2014-08-17 6:32,-1.779251591,19.58469657
40,40,"RT @makoto_au_japon: #Kazakhstan: No Kazakhstanis contracted #Ebola #virus in #Africa, MFA http://t.co/JxzKkKAA9K #Kazakh",2014-08-07 11:24,-4.248625634,21.28258415
41,41,"RT @seanparnell: British PM makes #ebola a #G20 priority. Aust PM last week said \""I don\'t think at this stage we want to over-estimate the …",2014-08-07 19:59,-7.746899184,22.29114156
42,42,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,2014-08-05 7:36,-4.144476159,25.35163847
43,43,RT @makoto_au_japon: #Russia to begin testing its #Ebola drugs http://t.co/mi5rIu4IMC #Africa #drug,2014-08-26 5:17,-2.818130045,19.50483128
44,44,RT @RT_com: #US nurses strike over insufficient #Ebola protections http://t.co/iCYbZDlQkv http://t.co/CYku6t0gVU,2014-09-29 3:14,-6.209641519,23.15873921
45,45,RT @makoto_au_japon: #APEC leaders determined to jointly fight #Ebola: Xi http://t.co/cJD6HVIAWi #China,2014-08-28 16:02,-6.533372769,19.73738325
